date,status,IDE_core,Energy,Agriculture,Fertilizers
2025-07-31,GREEN,2.48,2.026,2.085,3.256
2025-08-31,GREEN,2.569,1.987,2.379,3.292
2025-09-30,GREEN,2.491,2.175,2.045,3.178
2025-10-31,GREEN,2.169,1.96,1.69,2.817
2025-11-30,GREEN,2.171,1.971,1.558,2.937
2025-12-31,GREEN,1.932,1.915,1.144,2.747
2026-01-31,GREEN,1.932,2.037,1.084,2.693
2026-02-28,GREEN,1.884,2.149,0.915,2.66
2026-03-31,GREEN,2.856,3.401,1.41,3.518
2026-04-30,EARLY_AGROENERGY_WATCH,3.288,3.904,1.663,3.837
2026-05-31,EARLY_AGROENERGY_WATCH,3.218,3.77,1.925,3.626
2026-06-30,GREEN,2.555,2.898,2.082,2.617
